"Part","Value","Device","Package","Description","",
"BT1","","BATTERY-18650","BATTERY_18650-HOLDER","Battery - Single Cell","",
"C1","1u","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C2","100n","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C3","22p","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C4","22p","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C5","2.2","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C6","0.1","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C7","4.7","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C8","0.1","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C9","4.7","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C10","10u","C-EUC0805","C0805","CAPACITOR, European symbol","",
"C11","0.1","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C12","0.1","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C13","4.7p","C-EUC0603","C0603","CAPACITOR, European symbol","",
"C14","0.1u","C-EUC0603","C0603","CAPACITOR, European symbol","",
"D1","","LED0603","LED-0603","LED (Generic)","",
"D2","","LED0603","LED-0603","LED (Generic)","",
"D4","","LED0603","LED-0603","LED (Generic)","",
"D5","","LED0603","LED-0603","LED (Generic)","",
"D6","","DIODE_SOD-123FL","SOD-123FL","Diode","",
"IC1","DW01A","DW01A","SOT23-6","","",
"IC2","TP4056","TP4056","SOP-8","","",
"J1","DX07S016JA1R1500","DX07S016JA1R1500","JAE_DX07S016JA1R1500","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole Check prices","",
"L1","","L-EUL3225M","L3225M","INDUCTOR, European symbol","",
"OLED1","ADAFRUIT_DISPLAY_OLED_128X64_SH1107","ADAFRUIT_DISPLAY_OLED_128X64_SH1107","ADAFRUIT_DISPLAY_QT1107P11A","","",
"PAD1","","SMD5","SMD2,54-5,08","SMD PAD","",
"PAD2","","SMD5","SMD2,54-5,08","SMD PAD","",
"PAD3","","SMD5","SMD2,54-5,08","SMD PAD","",
"PAD4","","SMD5","SMD2,54-5,08","SMD PAD","",
"Q1","FS8205A","FS8205A","SOP65P640X120-8N","N/A","",
"R1","22","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R2","22","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R3","10k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R4","330","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R5","330","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R6","560k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R7","4.7k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R8","1k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R9","1k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R10","1k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R11","1k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R12","100","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R13","4.7k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R14","4.7k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R15","1.43m","R-EU_R0603","R0603","RESISTOR, European symbol","",
"R16","205k","R-EU_R0603","R0603","RESISTOR, European symbol","",
"U$1","ATMEGA32U4QFN2","ATMEGA32U4QFN2","SPARKFUN-DIGITALIC_QFN-44-NOPAD","Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller -----","",
"U$2","CHERRY-MX","CHERRY-MX","CHERRY-MX","Cherry MX series keyswitch","",
"U1","TPS61040DBVR","TPS61040DBVR","SOT95P280X145-5N","Check prices","",
"Y1","16MHz","CRYSTAL-16MHZSMD-5X3.2","CRYSTAL-SMD-5X3.2-4PAD","16MHz Crystal","",
